title,movie_type,overview
"['pulp', 'fiction']","['Thriller', 'Crime', 'Comedy', 'Drama']","['burger', '-', 'love', 'hit', 'man', ',', 'philosophical', 'partner', ',', 'drug', '-', 'addle', 'gangster', 'moll', 'wash', '-', 'boxer', 'converge', 'sprawling', ',', 'comedic', 'crime', 'caper', '.', 'adventure', 'unfurl', 'story', 'ingeniously', 'trip', 'forth', 'time', '.']"
['.'],"['Animation', 'Romance', 'Drama']","['high', 'schooler', 'mitsuha', 'taki', 'complete', 'stranger', 'live', 'separate', 'life', '.', 'night', ',', 'suddenly', 'switch', 'place', '.', 'mitsuha', 'wakes', 'taki', 'body', ',', '.', 'bizarre', 'occurrence', 'continue', 'happen', 'randomly', ',', 'adjust', 'life', '.']"
"['forr', 'gump']","['Comedy', 'Drama', 'Romance']","['man', 'low', 'iq', 'accomplish', 'great', 'thing', 'life', 'present', 'significant', 'historic', 'event', '—', 'case', ',', 'far', 'exceeding', 'imagine', '.', 'despite', 'achieve', ',', 'true', 'love', 'elude', '.']"
"['good', ',', 'bad', 'ugly']",['Western'],"['civil', 'war', 'rage', 'union', 'confederacy', ',', 'man', '–', 'quiet', 'loner', ',', 'ruthless', 'hitman', ',', 'mexican', 'bandit', '–', 'comb', 'american', 'southwest', 'search', 'strongbox', 'contain', '$', '200,000', 'steal', 'gold', '.']"
"['kpop', 'demon', 'hunter']","['Animation', 'Fantasy', 'Comedy', 'Music', 'Family']","['k', '-', 'pop', 'superstar', 'rumi', ',', 'mira', 'zoey', 'selling', 'stadium', ',', 'secret', 'power', 'protect', 'fan', 'supernatural', 'threat', '.']"
['interstellar'],"['Adventure', 'Drama', 'Science Fiction']","['adventure', 'group', 'explorer', 'use', 'newly', 'discover', 'wormhole', 'surpass', 'limitation', 'human', 'space', 'travel', 'conquer', 'vast', 'distance', 'involve', 'interstellar', 'voyage', '.']"
"['seven', 'samurai']","['Action', 'Drama']","['samurai', 'answer', 'village', 'request', 'protection', 'fall', 'hard', 'time', '.', 'town', 'need', 'protection', 'bandit', ',', 'samurai', 'gather', 'help', 'teach', 'people', 'defend', ',', 'villager', 'provide', 'soldier', 'food', '.']"
['goodfella'],"['Drama', 'Crime']","['true', 'story', 'henry', 'hill', ',', 'half', '-', 'irish', ',', 'half', '-', 'sicilian', 'brooklyn', 'kid', 'adopt', 'neighbourhood', 'gangster', 'early', 'age', 'climb', 'rank', 'mafia', 'family', 'guidance', 'jimmy', 'conway', '.']"
"['grave', 'firefly']","['Animation', 'Drama', 'War']","['final', 'month', 'world', 'war', 'ii', ',', '14', '-', 'year', '-', 'old', 'seita', 'sister', 'setsuko', 'orphan', 'mother', 'kill', 'air', 'raid', 'kobe', ',', 'japan', '.', 'fall', 'aunt', ',', 'abandon', 'bomb', 'shelter', '.', 'survive', 'relative', 'emergency', 'ration', 'deplete', ',', 'seita', 'setsuko', 'struggle', 'survive', '.']"
"['life', 'beautiful']","['Comedy', 'Drama']","['touch', 'story', 'italian', 'book', 'seller', 'jewish', 'ancestry', 'live', 'little', 'fairy', 'tale', '.', 'creative', 'happy', 'life', 'come', 'abrupt', 'halt', 'entire', 'family', 'deport', 'concentration', 'camp', 'world', 'war', 'ii', '.', 'lock', 'try', 'convince', 'son', 'thing', 'game', '.']"
"['fight', 'club']","['Drama', 'Thriller']","['tick', '-', 'time', '-', 'bomb', 'insomniac', 'slippery', 'soap', 'salesman', 'channel', 'primal', 'male', 'aggression', 'shock', 'new', 'form', 'therapy', '.', 'concept', 'catch', ',', 'underground', '""', 'fight', 'club', '""', 'form', 'town', ',', 'eccentric', 'get', 'way', 'ignite', '-', '-', 'control', 'spiral', 'oblivion', '.']"
"['cinema', 'paradiso']","['Drama', 'Romance']","['filmmaker', 'recall', 'childhood', ',', 'fall', 'love', 'movie', 'village', 'theater', 'form', 'deep', 'friendship', 'theater', 'projectionist', '.']"
"['impossible', 'thing']","['Family', 'Drama']","['death', 'abusive', 'husband', ',', 'matilde', 'find', 'new', 'good', 'friend', 'miguel', ',', 'young', ',', 'insecure', ',', 'disorient', 'neighbor', '.']"
"['city', 'god']","['Drama', 'Crime']","['poverty', '-', 'stricken', 'favelas', 'rio', 'de', 'janeiro', '1970s', ',', 'young', 'man', 'choose', 'different', 'path', '.', 'rocket', 'bud', 'photographer', 'document', 'increase', 'drug', '-', 'relate', 'violence', 'neighborhood', ',', 'josé', '""', 'zé', '""', 'pequeno', 'ambitious', 'drug', 'dealer', 'diving', 'dangerous', 'life', 'crime', '.']"
['harakiri'],"['Action', 'Drama', 'History']","['-', '-', '-', 'luck', 'veteran', 'tsugumo', 'hanshirō', 'enter', 'courtyard', 'prosperous', 'house', 'iyi', '.', 'unemployed', ',', 'family', ',', 'hope', 'find', 'place', 'commit', 'seppuku', '—', 'worthy', 'second', 'deliver', 'coup', 'de', 'grâce', 'suicide', 'ritual', '.', 'senior', 'counselor', 'iyi', 'clan', 'question', 'ronin', 'resolve', 'integrity', ',', 'suspect', 'hanshirō', 'seek', 'charity', 'honorable', 'end', '.', 'follow', 'pair', 'interlock', 'story', 'lie', 'bare', 'difference', 'honor', 'respect', ',', 'promise', 'examine', 'legendary', 'foundations', 'samurai', 'code', '.']"
['dog'],"['Comedy', 'Drama', 'Fantasy']","['lively', 'joão', 'grilo', 'sly', 'chicó', 'poor', 'guy', 'live', 'hinterland', 'cheat', 'bunch', 'people', 'small', 'town', 'northeastern', 'brazil', '.', 'die', ',', 'judge', 'christ', ',', 'devil', 'virgin', 'mary', 'admit', 'paradise', '.']"
"['lord', 'rings', ':', 'fellowship', 'ring']","['Adventure', 'Fantasy', 'Action']","['young', 'hobbit', 'frodo', 'baggin', ',', 'inherit', 'mysterious', 'ring', 'uncle', 'bilbo', ',', 'leave', 'home', 'order', 'fall', 'hand', 'evil', 'creator', '.', 'way', ',', 'fellowship', 'form', 'protect', 'ringbearer', 'sure', 'ring', 'arrive', 'final', 'destination', ':', 'mt', '.', 'doom', ',', 'place', 'destroy', '.']"
['psycho'],"['Horror', 'Thriller', 'Mystery']","['larcenous', 'real', 'estate', 'clerk', 'marion', 'crane', 'go', 'lam', 'wad', 'cash', 'hope', 'start', 'new', 'life', ',', 'end', 'notorious', 'bate', 'motel', ',', 'manager', 'norman', 'bates', 'care', 'housebound', 'mother', '.']"
"['fly', 'cuckoo', 'nest']",['Drama'],"['petty', 'criminal', 'fake', 'insanity', 'serve', 'sentence', 'mental', 'ward', 'prison', '.', 'soon', 'find', 'leader', 'patient', '—', 'enemy', 'cruel', ',', 'domineering', 'nurse', 'run', 'ward', '.']"
"['gabriel', 'inferno']","['Romance', 'Drama']","['intriguing', 'sinful', 'exploration', 'seduction', ',', 'forbid', 'love', ',', 'redemption', ',', 'gabriel', 'inferno', 'captivate', 'wildly', 'passionate', 'tale', 'man', 'escape', 'personal', 'hell', 'try', 'earn', 'impossible', '--', 'forgiveness', 'love', '.']"
"['time', 'america']","['Drama', 'Crime']","['prohibition', '-', 'era', 'jewish', 'gangster', 'return', 'low', 'east', 'manhattan', 'thirty', 'year', 'later', ',', 'confront', 'ghost', 'regret', 'old', 'life', '.']"
"['lord', 'rings', ':', 'tower']","['Adventure', 'Fantasy', 'Action']","['frodo', 'baggin', 'member', 'fellowship', 'continue', 'sacred', 'quest', 'destroy', 'ring', '--', 'separate', 'path', '.', 'destiny', 'lie', 'tower', '--', 'orthanc', 'tower', 'isengard', ',', 'corrupt', 'wizard', 'saruman', 'await', ',', 'sauron', 'fortress', 'barad', '-', 'dur', ',', 'deep', 'dark', 'land', 'mordor', '.', 'frodo', 'sam', 'trekking', 'mordor', 'destroy', 'ring', 'power', 'gimli', ',', 'legolas', 'aragorn', 'search', 'orc', '-', 'capture', 'merry', 'pippin', '.', ',', 'nefarious', 'wizard', 'saruman', 'await', 'fellowship', 'member', 'orthanc', 'tower', 'isengard', '.']"
['hope'],['Drama'],"['8', '-', 'year', '-', 'old', '-', 'win', 'narrowly', 'survive', 'brutal', 'sexual', 'assault', ',', 'family', 'labor', 'help', 'heal', 'cope', 'rage', 'grief', '.']"
"['spider', '-', 'man', ':', 'spider', '-', 'verse']","['Animation', 'Action', 'Adventure', 'Science Fiction']","['struggle', 'find', 'place', 'world', 'juggle', 'school', 'family', ',', 'brooklyn', 'teenager', 'miles', 'morale', 'unexpectedly', 'bite', 'radioactive', 'spider', 'develop', 'unfathomable', 'power', 'like', 'spider', '-', 'man', '.', 'wrestling', 'implication', 'new', 'ability', ',', 'mile', 'discover', 'super', 'collider', 'create', 'madman', 'wilson', '""', 'kingpin', '""', 'fisk', ',', 'cause', 'spider', '-', 'verse', 'inadvertently', 'transport', 'dimension', '.']"
"['howl', 'move', 'castle']","['Fantasy', 'Animation', 'Adventure']","['sophie', ',', 'young', 'milliner', ',', 'turn', 'elderly', 'woman', 'witch', 'enter', 'shop', 'curse', '.', 'encounter', 'wizard', 'name', 'howl', 'get', 'catch', 'resistance', 'fight', 'king', '.']"
"['empire', 'strike']","['Adventure', 'Action', 'Science Fiction']","['epic', 'saga', 'continue', 'luke', 'skywalker', ',', 'hope', 'defeat', 'evil', 'galactic', 'empire', ',', 'learn', 'way', 'jedi', 'aging', 'master', 'yoda', '.', 'darth', 'vader', 'determine', 'capture', 'luke', '.', ',', 'rebel', 'leader', 'princess', 'leia', ',', 'cocky', 'han', 'solo', ',', 'chewbacca', ',', 'droid', 'c-3po', 'r2', '-', 'd2', 'throw', 'stage', 'capture', ',', 'betrayal', 'despair', '.']"
"['primal', ':', 'tale', 'savagery']","['Action', 'Adventure', 'Animation', 'Drama']","['genndy', 'tartakovsky', 'primal', ':', 'tale', 'savagery', 'feature', 'caveman', 'dinosaur', 'brink', 'extinction', '.', 'bond', 'tragedy', ',', 'unlikely', 'friendship', 'hope', 'survival', '.']"
"['silent', 'voice', ':', 'movie']","['Animation', 'Drama', 'Romance']","['shouya', 'ishida', 'start', 'bully', 'new', 'girl', 'class', ',', 'shouko', 'nishimiya', ',', 'deaf', '.', 'teasing', 'continue', ',', 'rest', 'class', 'start', 'turn', 'shouya', 'lack', 'compassion', '.', 'leave', 'elementary', 'school', ',', 'shouko', 'shouya', 'speak', '...', 'old', ',', 'wise', 'shouya', ',', 'torment', 'past', 'behaviour', ',', 'decide', 'shouko', '.', 'want', 'atone', 'sin', ',', 'late', '...', '?']"
['pianist'],"['Drama', 'War']","['true', 'story', 'pianist', 'władysław', 'szpilman', 'experience', 'warsaw', 'nazi', 'occupation', '.', 'jews', 'city', 'find', 'force', 'ghetto', ',', 'szpilman', 'find', 'work', 'play', 'café', ';', 'family', 'deport', '1942', ',', 'stay', ',', 'work', 'laborer', ',', 'eventually', 'go', 'hiding', 'ruin', 'war', '-', 'tear', 'city', '.']"
"['gabriel', 'inferno', ':', 'ii']","['Romance', 'Drama']","['professor', 'gabriel', 'emerson', 'finally', 'learn', 'truth', 'julia', 'mitchell', 'identity', ',', 'realization', 'come', 'moment', 'late', '.', 'julia', 'wait', '-', 'respect', 'dante', 'specialist', 'remember', 'want', '.', 'gabriel', 'win', 'heart', 'find', 'love', 'arm', '?']"
['whiplash'],"['Drama', 'Music']","['direction', 'ruthless', 'instructor', ',', 'talented', 'young', 'drummer', 'begins', 'pursue', 'perfection', 'cost', ',', 'humanity', '.']"
['se7en'],"['Crime', 'Mystery', 'Thriller']","['homicide', 'detective', 'desperate', 'hunt', 'serial', 'killer', 'crime', 'base', '""', 'seven', 'deadly', 'sin', '""', 'dark', 'haunt', 'film', 'take', 'viewer', 'torture', 'remain', 'victim', '.', 'seasoned', 'det', '.', 'somerset', 'research', 'sin', 'effort', 'inside', 'killer', 'mind', ',', 'novice', 'partner', ',', 'mill', ',', 'scoff', 'effort', 'unravel', 'case', '.']"
"['gabriel', 'inferno', ':', 'iii']","['Romance', 'Drama']","['final', 'film', 'adaption', 'erotic', 'romance', 'novel', 'gabriel', 'inferno', 'write', 'anonymous', 'canadian', 'author', 'pen', 'sylvain', 'reynard', '.']"
"['lucy', 'shimmer', 'prince', 'peace']","['Drama', 'Family']","['second', 'chance', 'start', 'harden', 'criminal', 'crosse', 'path', 'precocious', 'little', 'girl', 'help', 'angel', 'change', 'heart', 'holiday', 'season', '.']"
['inception'],"['Action', 'Science Fiction', 'Adventure']","['cobb', ',', 'skilled', 'thief', 'commit', 'corporate', 'espionage', 'infiltrate', 'subconscious', 'target', 'offer', 'chance', 'regain', 'old', 'life', 'payment', 'task', 'consider', 'impossible', ':', '""', 'inception', '""', ',', 'implantation', 'person', 'idea', 'target', 'subconscious', '.']"
['radical'],['Drama'],"['mexican', 'border', 'town', 'plague', 'neglect', ',', 'corruption', ',', 'violence', ',', 'frustrated', 'teacher', 'try', 'unorthodox', 'new', 'method', 'break', 'student', ""'"", 'apathy', 'unlock', 'curiosity', ',', 'potential', '...', 'genius', '.']"
"['rear', 'window']","['Thriller', 'Mystery']","['wheelchair', '-', 'bind', 'photographer', 'spy', 'neighbor', 'apartment', 'window', 'convince', 'commit', 'murder', '.']"
"['silence', 'lamb']","['Crime', 'Drama', 'Thriller']","['clarice', 'starle', 'student', 'fbi', 'training', 'academy', '.', '  ', 'jack', 'crawford', 'want', 'clarice', 'interview', 'dr', '.', 'hannibal', 'lecter', ',', 'brilliant', 'psychiatrist', 'violent', 'psychopath', ',', 'serve', 'life', 'bar', 'act', 'murder', 'cannibalism', '.', '  ', 'crawford', 'believe', 'lecter', 'insight', 'case', 'starle', ',', 'attractive', 'young', 'woman', ',', 'bait', 'draw', '.']"
"['high', 'low']","['Drama', 'Crime', 'Mystery', 'Thriller']","['midst', 'attempt', 'company', ',', 'powerhouse', 'executive', 'hit', 'huge', 'ransom', 'demand', 'chauffeur', 'son', 'kidnap', 'mistake', '.']"
"['spider', '-', 'man', ':', 'spider', '-', 'verse']","['Animation', 'Action', 'Adventure', 'Science Fiction']","['reunite', 'gwen', 'stacy', ',', 'brooklyn', '-', 'time', ',', 'friendly', 'neighborhood', 'spider', '-', 'man', 'catapult', 'multiverse', ',', 'encounter', 'spider', 'society', ',', 'team', 'spider', '-', 'people', 'charge', 'protect', 'multiverse', 'existence', '.', 'hero', 'clash', 'handle', 'new', 'threat', ',', 'mile', 'find', 'pit', 'spider', 'set', 'save', 'love', '.']"
"['legend', 'hei']","['Animation', 'Fantasy', 'Action']","['cat', 'spirit', 'luo', 'xiaohei', 'home', 'deforest', 'human', ',', 'find', 'new', '.', 'run', 'group', 'spirit', 'creatures', 'wing', 'dream', 'reconquer', 'land', 'rightfully', 'theirs', '.', ',', 'run', 'human', 'know', 'wuxian', 'separate', 'luo', 'xiaohei', 'spirit', 'journey', ',', 'cat', 'spirit', 'learn', 'control', 'ability', 'form', 'thought', 'ally', 'spirit', 'human', '.']"
"['american', 'history', 'x']",['Drama'],"['derek', 'vineyard', 'parole', 'serve', '3', 'year', 'prison', 'kill', 'african', '-', 'american', 'man', '.', 'brother', ',', 'danny', 'vineyard', 'narration', ',', 'learn', 'go', 'prison', ',', 'derek', 'skinhead', 'leader', 'violent', 'white', 'supremacist', 'gang', 'commit', 'act', 'racial', 'crime', 'l.a', '.', 'action', 'greatly', 'influence', 'danny', '.', 'reform', 'fresh', 'prison', ',', 'derek', 'sever', 'contact', 'gang', 'determine', 'danny', 'go', 'violent', 'path', '.']"
"['dou', 'kyu', 'sei', '–', 'classmate']","['Romance', 'Animation']","['rihito', 'sajo', ',', 'honor', 'student', 'perfect', 'score', 'entrance', 'exam', 'hikaru', 'kusakabe', ',', 'band', 'popular', 'girl', ',', 'cross', 'path', '.', 'day', 'start', 'talk', 'practice', 'school', 'upcoming', 'chorus', 'festival', '.', 'school', ',', 'meet', 'regularly', ',', 'hikaru', 'helps', 'rihito', 'improve', 'singing', 'skill', '.', 'listen', 'voice', 'harmonize', ',', 'heart', 'start', 'beat', '.']"
"['quintessential', 'quintuplet', 'movie']","['Animation', 'Comedy', 'Romance']","['lovely', 'young', 'girl', 'hate', 'study', 'hire', '-', 'time', 'tutor', 'futaro', ',', 'guide', 'education', 'heart', '.', 'time', 'spend', 'bring', 'close', ',', 'feeling', 'grow', 'girl', 'futaro', '.', 'finish', 'year', 'high', 'school', 'school', 'festival', 'approach', ',', 'set', 'sight', '.', 'future', 'futaro', '?']"
"['princess', 'mononoke']","['Adventure', 'Fantasy', 'Animation']","['ashitaka', ',', 'prince', 'disappear', 'emishi', 'people', ',', 'curse', 'demonized', 'boar', 'god', 'journey', 'west', 'find', 'cure', '.', 'way', ',', 'encounter', 'san', ',', 'young', 'human', 'woman', 'fight', 'protect', 'forest', ',', 'lady', 'eboshi', ',', 'try', 'destroy', '.', 'ashitaka', 'find', 'way', 'bring', 'balance', 'conflict', '.']"
"['bright', 'summer', 'day']","['Crime', 'Drama', 'Romance']","['boy', 'experience', 'love', ',', 'friendship', 'injustice', 'grow', '1960s', 'taiwan', '.']"
['future'],"['Adventure', 'Comedy', 'Science Fiction']","['eighties', 'teenager', 'marty', 'mcfly', 'accidentally', 'send', 'time', '1955', ',', 'inadvertently', 'disrupt', 'parent', ""'"", 'meeting', 'attract', 'mother', 'romantic', 'interest', '.', 'marty', 'repair', 'damage', 'history', 'rekindle', 'parent', ""'"", 'romance', '-', 'help', 'eccentric', 'inventor', 'friend', 'doc', 'brown', '-', 'return', '1985', '.']"
"['wild', 'robot']","['Animation', 'Science Fiction', 'Family']","['shipwreck', ',', 'intelligent', 'robot', 'call', 'roz', 'strand', 'uninhabited', 'island', '.', 'survive', 'harsh', 'environment', ',', 'roz', 'bond', 'island', 'animal', 'care', 'orphan', 'baby', 'goose', '.']"
"['josee', ',', 'tiger', 'fish']","['Animation', 'Drama', 'Romance']","['dream', 'diving', 'abroad', ',', 'tsuneo', 'get', 'job', 'assist', 'josee', ',', 'artist', 'imagination', 'take', 'far', 'wheelchair', '.', 'tide', 'turn', ',', 'push', 'place', 'think', 'possible', ',', 'inspire', 'love', 'fit', 'storybook', '.']"
['counterattack'],"['Action', 'Adventure', 'Thriller']","['hostage', 'rescue', 'mission', 'create', 'new', 'enemy', ',', 'capt', '.', 'guerrero', 'elite', 'soldier', 'face', 'ambush', 'criminal', 'group', '.']"
['ikiru'],['Drama'],"['kanji', 'watanabe', 'middle', '-', 'aged', 'man', 'work', 'monotonous', 'bureaucratic', 'position', 'decade', '.', 'learn', 'cancer', ',', 'start', 'look', 'mean', 'life', '.']"
"['perfect', 'blue']","['Animation', 'Thriller']","['encourage', 'manager', ',', 'rise', 'pop', 'star', 'mima', 'take', 'recur', 'role', 'popular', 'tv', ',', 'suddenly', 'handler', 'collaborator', 'begin', 'turning', 'murder', '.']"
"['léon', ':', 'professional']","['Crime', 'Drama', 'Action']","['léon', ',', 'hit', 'man', 'new', 'york', ',', 'earn', 'rep', 'effective', '""', 'clean', '""', '.', '-', 'door', 'neighbor', 'wipe', 'loose', '-', 'cannon', 'dea', 'agent', ',', 'unwilling', 'custodian', '12', '-', 'year', '-', 'old', 'mathilda', '.', 'long', ',', 'mathilda', 'thought', 'turn', 'revenge', ',', 'consider', 'follow', 'léon', 'footstep', '.']"
"['dead', 'poet', 'society']",['Drama'],"['elite', ',', 'old', '-', 'fashioned', 'boarding', 'school', 'new', 'england', ',', 'passionate', 'english', 'teacher', 'inspire', 'student', 'rebel', 'convention', 'seize', 'potential', 'day', ',', 'court', 'disdain', 'stern', 'headmaster', '.']"
"['violet', 'evergarden', ':', 'movie']","['Animation', 'Fantasy', 'Romance', 'Drama']","['world', 'move', 'war', 'technological', 'advance', 'bring', 'change', 'life', ',', 'violet', 'hope', 'lose', 'command', 'officer', '.']"
"['great', 'dictator']","['Comedy', 'War']","['dictator', 'adenoid', 'hynkel', 'try', 'expand', 'empire', 'poor', 'jewish', 'barber', 'try', 'avoid', 'persecution', 'hynkel', 'regime', '.']"
"['sunset', 'boulevard']",['Drama'],"['hack', 'screenwriter', 'write', 'screenplay', 'silent', 'film', 'star', 'fade', 'hollywood', 'obscurity', '.']"
"['dedicated', 'ex']","['Drama', 'Comedy']","['film', 'tell', 'story', 'ariel', ',', '21', '-', 'year', '-', 'old', 'decide', 'form', 'rock', 'band', 'compete', 'prize', 'thousand', 'dollar', 'musical', 'band', 'contest', ',', 'option', 'try', 'money', 'save', 'relationship', 'reunite', 'ex', '-', 'girlfriend', ',', 'break', 'trip', 'finland', 'internship', '.', 'ariel', 'friend', 'ortega', ',', 'decide', 'cast', 'find', 'member', 'band', ',', 'know', 'music', ',', 'form', 'band', 'member', 'diverse', 'opposite', 'personality', '.']"
"['hotarubi', 'mori', 'e']","['Romance', 'Animation', 'Fantasy']","['hot', 'summer', 'day', 'little', 'girl', 'get', 'lose', 'enchant', 'forest', 'mountain', 'god', 'spirit', 'reside', '.', 'young', 'boy', 'appear', ',', 'touch', 'fear', 'make', 'disappear', '.', 'wondrous', 'adventure', 'await', '...']"
['love'],"['Drama', 'Comedy']","['partisan', 'bind', 'strong', 'friendship', 'return', 'home', 'war', ',', 'clash', 'everyday', 'reality', 'put', 'strain', 'bond', '.']"
"['time', 'west']","['Drama', 'Western']","['railroad', 'builder', 'advance', 'unstoppably', 'arizona', 'desert', 'way', 'sea', ',', 'jill', 'arrive', 'small', 'town', 'flagstone', 'intention', 'start', 'new', 'life', '.']"
['give'],"['Animation', 'Drama', 'Music', 'Romance']","['haruki', 'secretly', 'feeling', 'akihiko', 'year', ',', 'akihiko', 'relationship', 'roommate', ',', 'violinist', 'ugetsu', 'murata', '.', 'haruki', ',', 'akihiko', ',', 'ugetsu', 'love', 'clash', 'start', 'forward', '.']"
"['modern', 'time']","['Comedy', 'Drama', 'Romance']","['bumble', 'tramp', 'desire', 'build', 'home', 'young', 'woman', ',', 'thwart', 'time', 'time', 'lack', 'experience', 'habit', 'wrong', 'place', 'wrong', 'time', '..']"
['studio'],"['Animation', 'Family', 'Fantasy', 'Comedy']","['create', 'disney', '100th', 'anniversary', ',', 'short', 'feature', 'mickey', 'mouse', 'corral', 'gallery', 'legendary', 'disney', 'character', 'group', 'photo', '.']"
"['neon', 'genesis', 'evangelion', ':', 'end', 'evangelion']","['Animation', 'Science Fiction', 'Action', 'Drama']","['seele', 'order', '-', 'attack', 'nerv', ',', 'aim', 'destroy', 'evas', 'gendo', 'advance', 'plan', 'human', 'instrumentality', 'project', '.', 'shinji', 'push', 'limit', 'sanity', 'force', 'decide', 'fate', 'humanity', '.']"
['intouchable'],"['Drama', 'Comedy']","['true', 'story', 'man', 'meet', '–', 'quadriplegic', 'aristocrat', 'injure', 'paragliding', 'accident', 'young', 'man', 'project', '.']"
['apocalypse'],"['Drama', 'War']","['height', 'vietnam', 'war', ',', 'captain', 'benjamin', 'willard', 'send', 'dangerous', 'mission', ',', 'officially', ',', '""', 'exist', ',', 'exist', '.', '""', 'goal', 'locate', '-', 'eliminate', '-', 'mysterious', 'green', 'beret', 'colonel', 'name', 'walter', 'kurtz', ',', 'lead', 'personal', 'army', 'illegal', 'guerrilla', 'mission', 'enemy', 'territory', '.']"
